"","playerID","age_season","total_games","prev_year_games"
"369","beckhgo01",28,100,NA
"370","beckhgo01",29,88,100
"371","beckhgo01",30,11,88
"372","beckhgo01",31,22,11
"373","beckhgo01",32,83,22
"374","beckhti01",25,82,NA
"375","beckhti01",26,64,82
"376","beckhti01",27,137,64
"377","beckhti01",28,96,137
"378","beckhti01",29,88,96
"379","beckhti01",32,12,88
"380","beerse01",24,5,NA
"381","beerse01",25,38,5
"382","bellico01",21,132,NA
"383","bellico01",22,162,132
"384","bellico01",23,156,162
"385","bellico01",25,95,156
"386","bellico01",26,144,95
"387","bellico01",27,130,144
"388","belljo02",23,45,NA
"389","belljo02",24,159,45
"390","belljo02",25,148,159
"391","belljo02",26,143,148
"392","belljo02",28,144,143
"393","belljo02",29,156,144
"394","belljo02",30,150,156
"395","beltbr01",27,137,NA
"396","beltbr01",28,156,137
"397","beltbr01",29,104,156
"398","beltbr01",30,112,104
"399","beltbr01",31,156,112
"400","beltbr01",33,97,156
"401","beltbr01",34,78,97
"402","beltbr01",35,103,78
"403","beltrad01",36,143,NA
"404","beltrad01",37,153,143
"405","beltrad01",38,94,153
"406","beltrad01",39,119,94
"407","beltrca01",38,133,NA
"408","beltrca01",39,151,133
"409","beltrca01",40,129,151
"410","bemboan01",29,25,NA
"411","bemboan01",31,7,25
"412","bemboan01",32,22,7
"413","bemboan01",33,6,22
"414","beninan01",21,34,NA
"415","beninan01",22,151,34
"416","beninan01",23,148,151
"417","beninan01",24,138,148
"418","beninan01",26,134,138
"419","beninan01",27,126,134
"420","beninan01",28,151,126
"421","bensowi01",24,28,NA
"422","bensowi01",25,108,28
"423","beresja01",27,10,NA
"424","bernawy01",31,12,NA
"425","bernido01",35,4,NA
"426","berryqu01",30,8,NA
"427","berryqu01",32,7,8
"428","bertijo01",28,4,NA
"429","bertijo01",29,73,4
"430","bertijo01",31,85,73
"431","bertijo01",32,102,85
"432","bertijo01",33,133,102
"433","bethach01",23,48,NA
"434","bethach01",24,71,48
"435","bethach01",25,4,71
"436","bethach01",30,96,4
"437","bethach01",31,103,96
"438","bettsmo01",22,145,NA
"439","bettsmo01",23,158,145
"440","bettsmo01",24,153,158
"441","bettsmo01",25,136,153
"442","bettsmo01",26,150,136
"443","bettsmo01",28,122,150
"444","bettsmo01",29,142,122
"445","bettsmo01",30,152,142
"446","biancje01",28,3,NA
"447","bichebo01",21,46,NA
"448","bichebo01",23,159,46
"449","bichebo01",24,159,159
"450","bichebo01",25,135,159
"451","biggica01",24,100,NA
"452","biggica01",26,79,100
"453","biggica01",27,97,79
"454","biggica01",28,111,97
"455","birdgr01",22,46,NA
"456","birdgr01",24,48,46
"457","birdgr01",25,82,48
"458","birdgr01",26,10,82
"459","bishobr01",25,27,NA
"460","bishobr01",27,8,27
"461","blackch02",28,157,NA
"462","blackch02",29,143,157
"463","blackch02",30,159,143
"464","blackch02",31,156,159
"465","blackch02",32,140,156
"466","blackch02",34,150,140
"467","blackch02",35,135,150
"468","blackch02",36,96,135
"469","blairca01",25,11,NA
"470","blancan01",31,106,NA
"471","blancan01",32,90,106
"472","blancan01",33,79,90
"473","blancda02",29,5,NA
"474","blancda02",30,69,5
"475","blancgr01",31,115,NA
"476","blancgr01",32,106,115
"477","blancgr01",33,90,106
"478","blancgr01",34,68,90
"479","blandal01",25,68,NA
"480","blandal01",26,23,68
"481","blandal01",28,39,23
"482","blankky01",28,18,NA
"483","blanktr01",24,24,NA
"484","blanktr01",25,1,24
"485","blanktr01",26,10,1
"486","blashja01",26,38,NA
"487","blashja01",27,61,38
"488","blashja01",28,24,61
"489","bledajj01",24,65,NA
"490","bledajj01",25,82,65
"491","bloomwi01",37,35,NA
"492","boescbr01",30,51,NA
"493","bogaexa01",22,156,NA
"494","bogaexa01",23,157,156
"495","bogaexa01",24,148,157
"496","bogaexa01",25,136,148
"497","bogaexa01",26,155,136
"498","bogaexa01",28,144,155
"499","bogaexa01",29,150,144
"500","bogaexa01",30,155,150
"501","bogusbr01",31,22,NA
"502","bohmal01",24,115,NA
"503","bohmal01",25,152,115
"504","bohmal01",26,145,152
"505","boltsk01",25,5,NA
"506","boltsk01",27,34,5
"507","boltsk01",28,42,34
"508","bonifem01",30,47,NA
"509","bonifem01",31,24,47
"510","bonifem01",32,38,24
"511","bonifjo01",24,113,NA
"512","bonifjo01",25,69,113
"513","bonifjo01",26,5,69
"514","bonifjo01",28,7,5
"515","borboju01",30,6,NA
"516","bormajo01",24,1,NA
"517","bostich01",24,20,NA
"518","bostich01",25,15,20
"519","boteda01",25,74,NA
"520","boteda01",26,127,74
"521","boteda01",28,97,127
"522","boteda01",29,41,97
"523","bouchse01",26,27,NA
"524","bouchse01",27,21,27
"525","bourgja01",33,68,NA
"526","bourjpe01",28,117,NA
"527","bourjpe01",29,123,117
"528","bourjpe01",30,100,123
"529","bourjpe01",31,36,100
"530","bourjpe01",32,26,36
"531","bourju01",27,129,NA
"532","bourju01",28,90,129
"533","bourju01",29,108,90
"534","bourju01",30,141,108
"535","bourju01",31,52,141
"536","bournmi01",32,141,NA
"537","bournmi01",33,113,141
"538","bradlbo01",23,15,NA
"539","bradlbo01",25,74,15
"540","bradlbo01",26,8,74
"541","bradlja02",25,74,NA
"542","bradlja02",26,156,74
"543","bradlja02",27,133,156
"544","bradlja02",28,144,133
"545","bradlja02",29,147,144
"546","bradlja02",31,134,147
"547","bradlja02",32,130,134
"548","bradlja02",33,43,130
"549","brantmi02",28,137,NA
"550","brantmi02",29,11,137
"551","brantmi02",30,90,11
"552","brantmi02",31,143,90
"553","brantmi02",32,148,143
"554","brantmi02",34,121,148
"555","brantmi02",35,64,121
"556","brantmi02",36,15,64
"557","brantro01",25,14,NA
"558","brantro01",27,12,14
"559","brantro01",29,1,12
"560","brantro01",31,6,1
"561","brantro01",32,1,6
"562","braulst01",27,8,NA
"563","braunry02",31,140,NA
"564","braunry02",32,135,140
"565","braunry02",33,104,135
"566","braunry02",34,125,104
"567","braunry02",35,144,125
"568","bregmal01",22,49,NA
"569","bregmal01",23,155,49
"570","bregmal01",24,157,155
"571","bregmal01",25,156,157
"572","bregmal01",27,91,156
"573","bregmal01",28,155,91
"574","bregmal01",29,161,155
"575","brennwi02",24,11,NA
"576","brennwi02",25,138,11
"577","brentbr01",27,25,NA
"578","brettry01",23,3,NA
"579","bricejo01",25,46,NA
"580","bridejo01",26,58,NA
"581","bridejo01",27,40,58
"582","brignre01",29,17,NA
"583","brignre01",30,13,17
"584","brinsle01",23,21,NA
"585","brinsle01",24,109,21
"586","brinsle01",25,75,109
"587","brinsle01",27,89,75
"588","brinsle01",28,16,89
"589","britoso01",22,18,NA
"590","britoso01",23,40,18
"591","britoso01",25,24,40
"592","britoso01",26,17,24
"593","brossmi01",25,47,NA
"594","brossmi01",27,57,47
"595","brossmi01",28,66,57
"596","brossmi01",29,26,66
"597","browndo01",27,63,NA
"598","brownse01",26,26,NA
"599","brownse01",28,111,26
"600","brownse01",29,150,111
"601","brownse01",30,112,150
"602","browntr01",23,13,NA
"603","browntr01",24,75,13
"604","broxtke01",25,7,NA
"605","broxtke01",26,75,7
"606","broxtke01",27,143,75
"607","broxtke01",28,51,143
"608","broxtke01",29,100,51
"609","bruceja01",28,157,NA
"610","bruceja01",29,147,157
"611","bruceja01",30,146,147
"612","bruceja01",31,94,146
"613","bruceja01",32,98,94
"614","bruceja01",34,10,98
"615","brugmja01",25,48,NA
"616","brujavi01",23,10,NA
"617","brujavi01",24,52,10
"618","brujavi01",25,37,52
"619","bryankr01",23,151,NA
"620","bryankr01",24,155,151
"621","bryankr01",25,151,155
"622","bryankr01",26,102,151
"623","bryankr01",27,147,102
"624","bryankr01",29,144,147
"625","bryankr01",30,42,144
"626","bryankr01",31,80,42
"627","burdipe01",25,32,NA
"628","burdipe01",26,14,32
"629","burgeja01",25,15,NA
"630","burgeja01",26,51,15
"631","burgeja01",27,141,51
"632","burleal01",23,16,NA
"633","burleal01",24,105,16
"634","burnsan01",25,10,NA
"635","burnsan01",30,8,10
"636","burnsbi02",25,125,NA
"637","burnsbi02",26,97,125
"638","burnsbi02",27,7,97
"639","burriem01",30,5,NA
"640","burriem01",31,39,5
"641","buschmi02",25,27,NA
"642","bussni01",29,36,NA
"643","buterdr01",31,55,NA
"644","buterdr01",32,53,55
"645","buterdr01",33,75,53
"646","buterdr01",34,60,75
"647","buterdr01",35,16,60
"648","buterdr01",37,12,16
"649","butlebi03",29,151,NA
"650","butlebi03",30,97,151
"651","butleda01",31,2,NA
"652","butlejo04",29,88,NA
